Title,Rating,Adjusted_rating,Number of ratings,Number of Oscars
Forrest Gump,8.8,9.3,1981670,6
The Dark Knight,9.0,9.3,2534131,2
The Shawshank Redemption,9.2,9.2,2569076,0
Inception,8.7,8.9,2254775,4
The Godfather,9.2,8.9,1768774,3
The Godfather: Part II,9.0,8.7,1223615,6
Schindler's List,8.9,8.7,1309003,7
Pulp Fiction,8.9,8.7,1972148,1
The Lord of the Rings: The Fellowship of the Ring,8.8,8.6,1789173,4
The Matrix,8.7,8.5,1849063,4
The Lord of the Rings: The Return of the King,8.9,8.4,1767435,1
Fight Club,8.8,8.3,2021580,0
The Lord of the Rings: The Two Towers,8.7,8.1,1596765,2
Star Wars: Episode V - The Empire Strikes Back,8.7,7.7,1243001,1
Se7en,8.6,7.7,1575414,0
Goodfellas,8.7,7.6,1108578,1
One Flew Over the Cuckoo's Nest,8.6,7.6,978645,5
12 Angry Men,9.0,7.2,758740,0
"The Good, the Bad and the Ugly",8.8,7.0,738889,0
Seven Samurai,8.6,6.4,337476,0
